"date","home.team","away.team","home.score","away.score"
2011-11-20,"Sociedad","Espanol",0,0
2011-11-20,"Sp Gijon","Getafe",2,1
2011-11-21,"Santander","Malaga",1,3
2011-11-26,"Getafe","Barcelona",1,0
2011-11-26,"Real Madrid","Ath Madrid",4,1
2011-11-26,"Vallecano","Valencia",1,2
2011-11-27,"Ath Bilbao","Granada",0,1
2011-11-27,"Betis","Sociedad",2,3
2011-11-27,"Espanol","Osasuna",1,2
2011-11-27,"Levante","Sp Gijon",4,0
2011-11-27,"Mallorca","Santander",2,1
2011-11-27,"Zaragoza","Sevilla",0,1
2011-11-28,"Malaga","Villarreal",2,1
2011-11-29,"Barcelona","Vallecano",4,0
2011-12-03,"Barcelona","Levante",5,0
2011-12-03,"Santander","Villarreal",1,0
2011-12-03,"Sp Gijon","Real Madrid",0,3
2011-12-03,"Valencia","Espanol",2,1
2011-12-04,"Ath Madrid","Vallecano",3,1
2011-12-04,"Granada","Zaragoza",1,0
2011-12-04,"Mallorca","Ath Bilbao",1,1
2011-12-04,"Osasuna","Betis",2,1
2011-12-04,"Sociedad","Malaga",3,2
2011-12-05,"Sevilla","Getafe",3,0
2011-12-07,"Granada","Mallorca",2,2
2011-12-10,"Betis","Valencia",2,1
2011-12-10,"Levante","Sevilla",1,0
2011-12-10,"Real Madrid","Barcelona",1,3
2011-12-11,"Ath Bilbao","Santander",1,1
2011-12-11,"Espanol","Ath Madrid",4,2
2011-12-11,"Getafe","Granada",1,0
2011-12-11,"Malaga","Osasuna",1,1
2011-12-11,"Vallecano","Sp Gijon",1,3
2011-12-11,"Villarreal","Sociedad",1,1
2011-12-11,"Zaragoza","Mallorca",0,1
2011-12-17,"Ath Bilbao","Zaragoza",2,1
2011-12-17,"Mallorca","Getafe",1,2
2011-12-17,"Sevilla","Real Madrid",2,6
2011-12-17,"Sp Gijon","Espanol",1,2
2011-12-18,"Ath Madrid","Betis",0,2
2011-12-18,"Granada","Levante",2,1
2011-12-18,"Osasuna","Villarreal",2,1
2011-12-18,"Santander","Sociedad",0,0
2011-12-18,"Valencia","Malaga",2,0
2012-01-07,"Levante","Mallorca",0,0
2012-01-07,"Malaga","Ath Madrid",0,0
2012-01-07,"Real Madrid","Granada",5,1
2012-01-07,"Santander","Zaragoza",1,0
2012-01-07,"Sociedad","Osasuna",0,0
2012-01-08,"Betis","Sp Gijon",2,0
2012-01-08,"Espanol","Barcelona",1,1
2012-01-08,"Getafe","Ath Bilbao",0,0
2012-01-08,"Vallecano","Sevilla",2,1
2012-01-08,"Villarreal","Valencia",2,2
2012-01-14,"Granada","Vallecano",1,2
2012-01-14,"Mallorca","Real Madrid",1,2
2012-01-14,"Sevilla","Espanol",0,0
2012-01-14,"Valencia","Sociedad",0,1
2012-01-14,"Zaragoza","Getafe",1,1
2012-01-15,"Ath Bilbao","Levante",3,0
2012-01-15,"Ath Madrid","Villarreal",3,0
2012-01-15,"Barcelona","Betis",4,2
2012-01-15,"Osasuna","Santander",0,2
2012-01-15,"Sp Gijon","Malaga",2,1
2012-01-21,"Betis","Sevilla",1,1
2012-01-21,"Espanol","Granada",3,0
2012-01-21,"Santander","Getafe",1,2
2012-01-21,"Sociedad","Ath Madrid",0,4
2012-01-22,"Levante","Zaragoza",0,0
2012-01-22,"Malaga","Barcelona",1,4
2012-01-22,"Osasuna","Valencia",1,1
2012-01-22,"Real Madrid","Ath Bilbao",4,1
2012-01-22,"Vallecano","Mallorca",0,1
2012-01-23,"Villarreal","Sp Gijon",3,0
2012-01-28,"Espanol","Mallorca",1,0
2012-01-28,"Real Madrid","Zaragoza",3,1
2012-01-28,"Vallecano","Ath Bilbao",2,3
2012-01-28,"Villarreal","Barcelona",0,0
2012-01-29,"Betis","Granada",1,2
2012-01-29,"Levante","Getafe",1,2
2012-01-29,"Malaga","Sevilla",2,1
2012-01-29,"Santander","Valencia",2,2
2012-01-29,"Sociedad","Sp Gijon",5,1
2012-01-30,"Osasuna","Ath Madrid",0,1
2012-02-04,"Ath Bilbao","Espanol",3,3
